"Chromosome" "Sex" "observed_tsg" "expected_tsg" "observed_pog" "expected_pog" "p"
"1" "A" "female" 300 804.669703517897 2206 1701.3302964821 6.40202124563526e-122
"2" "X" "female" 21 32.0587653343886 29 17.9412346656114 0.00598497128316766
"3" "A" "male" 350 893.934738465214 2434 1890.06526153479 1.98127854621164e-126
"4" "X" "male" 31 37.8293430945785 28 21.1706569054214 0.274955328962894
